time,mf
2019-01-01 02:00:00,332.871
2019-01-01 03:00:00,332.82
2019-01-01 04:00:00,332.6955
2019-01-01 05:00:00,332.511
2019-01-01 06:00:00,332.7125
2019-01-01 07:00:00,332.836
2019-01-01 08:00:00,332.714
2019-01-01 09:00:00,332.791
2019-01-01 10:00:00,333.037
2019-01-01 11:00:00,332.887
2019-01-01 12:00:00,332.91748
2019-01-01 13:00:00,332.878
2019-01-01 14:00:00,332.8405
2019-01-01 15:00:00,332.809
2019-01-01 16:00:00,332.851
2019-01-01 17:00:00,332.722
2019-01-01 18:00:00,332.703
2019-01-01 19:00:00,332.738
2019-01-01 20:00:00,333.154
2019-01-01 21:00:00,333.008
2019-01-01 22:00:00,332.729
2019-01-01 23:00:00,332.588
2019-01-02 00:00:00,332.866
2019-01-02 01:00:00,
2019-01-02 02:00:00,332.573
2019-01-02 03:00:00,333.328
2019-01-02 04:00:00,333.4895
2019-01-02 05:00:00,333.484
2019-01-02 06:00:00,333.5145
2019-01-02 07:00:00,333.823
2019-01-02 08:00:00,333.4975
2019-01-02 09:00:00,333.456
2019-01-02 10:00:00,333.3555
2019-01-02 11:00:00,333.197
2019-01-02 12:00:00,333.664
2019-01-02 13:00:00,
2019-01-02 14:00:00,333.1525
2019-01-02 15:00:00,333.5
2019-01-02 16:00:00,332.948
2019-01-02 17:00:00,333.191
2019-01-02 18:00:00,333.28052
2019-01-02 19:00:00,333.058
2019-01-02 20:00:00,333.07202
2019-01-02 21:00:00,333.158
2019-01-02 22:00:00,333.118
2019-01-02 23:00:00,333.006
2019-01-03 00:00:00,333.171
2019-01-03 01:00:00,
2019-01-03 02:00:00,333.621
2019-01-03 03:00:00,333.142
2019-01-03 04:00:00,333.1005
2019-01-03 05:00:00,333.219
2019-01-03 06:00:00,333.229
2019-01-03 07:00:00,333.091
2019-01-03 08:00:00,333.1015
2019-01-03 09:00:00,333.485
2019-01-03 10:00:00,333.26898
2019-01-03 11:00:00,333.219
2019-01-03 12:00:00,333.088
2019-01-03 13:00:00,333.484
2019-01-03 14:00:00,333.03302
2019-01-03 15:00:00,332.821
2019-01-03 16:00:00,332.6275
2019-01-03 17:00:00,332.855
2019-01-03 18:00:00,332.844
2019-01-03 19:00:00,332.667
2019-01-03 20:00:00,332.739
2019-01-03 21:00:00,332.844
2019-01-03 22:00:00,332.758
2019-01-03 23:00:00,332.954
2019-01-04 00:00:00,333.0
2019-01-04 01:00:00,
2019-01-04 02:00:00,332.736
2019-01-04 03:00:00,332.822
2019-01-04 04:00:00,332.738
2019-01-04 05:00:00,332.892
2019-01-04 06:00:00,332.914
2019-01-04 07:00:00,332.867
2019-01-04 08:00:00,332.95648
2019-01-04 09:00:00,332.725
2019-01-04 10:00:00,332.7625
2019-01-04 11:00:00,332.989
2019-01-04 12:00:00,332.9385
2019-01-04 13:00:00,333.102
2019-01-04 14:00:00,332.9825
2019-01-04 15:00:00,333.008
2019-01-04 16:00:00,332.92798
2019-01-04 17:00:00,332.888
2019-01-04 18:00:00,332.94452
2019-01-04 19:00:00,332.984
2019-01-04 20:00:00,333.063
2019-01-04 21:00:00,332.849
2019-01-04 22:00:00,332.97803
2019-01-04 23:00:00,332.788
2019-01-05 00:00:00,332.794
2019-01-05 01:00:00,
2019-01-05 02:00:00,332.83
2019-01-05 03:00:00,333.102
2019-01-05 04:00:00,332.95752
2019-01-05 05:00:00,333.04
2019-01-05 06:00:00,332.8705
2019-01-05 07:00:00,332.917
2019-01-05 08:00:00,333.055
2019-01-05 09:00:00,332.726
2019-01-05 10:00:00,333.081
2019-01-05 11:00:00,333.034
2019-01-05 12:00:00,333.061
2019-01-05 13:00:00,333.285
2019-01-05 14:00:00,333.187
2019-01-05 15:00:00,332.926
2019-01-05 16:00:00,332.722
2019-01-05 17:00:00,332.769
2019-01-05 18:00:00,332.68
2019-01-05 19:00:00,332.798
2019-01-05 20:00:00,332.779
2019-01-05 21:00:00,332.786
2019-01-05 22:00:00,332.7555
2019-01-05 23:00:00,332.724
2019-01-06 00:00:00,332.881
2019-01-06 01:00:00,
2019-01-06 02:00:00,332.835
2019-01-06 03:00:00,332.597
2019-01-06 04:00:00,332.87
2019-01-06 05:00:00,332.839
2019-01-06 06:00:00,332.8695
2019-01-06 07:00:00,332.774
2019-01-06 08:00:00,332.61902
2019-01-06 09:00:00,332.667
2019-01-06 10:00:00,332.6765
2019-01-06 11:00:00,332.728
2019-01-06 12:00:00,332.75598
2019-01-06 13:00:00,332.891
2019-01-06 14:00:00,332.829
2019-01-06 15:00:00,332.923
2019-01-06 16:00:00,332.8085
2019-01-06 17:00:00,332.791
2019-01-06 18:00:00,332.70697
2019-01-06 19:00:00,332.782
2019-01-06 20:00:00,332.6865
2019-01-06 21:00:00,332.814
2019-01-06 22:00:00,332.574
2019-01-06 23:00:00,
2019-01-07 00:00:00,
2019-01-07 01:00:00,
2019-01-07 02:00:00,332.96
2019-01-07 03:00:00,332.667
2019-01-07 04:00:00,332.78052
2019-01-07 05:00:00,332.989
2019-01-07 06:00:00,333.135
2019-01-07 07:00:00,333.213
2019-01-07 08:00:00,332.887
2019-01-07 09:00:00,332.888
2019-01-07 10:00:00,333.0
2019-01-07 11:00:00,332.825
2019-01-07 12:00:00,332.912
2019-01-07 13:00:00,
2019-01-07 14:00:00,332.683
2019-01-07 15:00:00,332.7575
2019-01-07 16:00:00,332.831
2019-01-07 17:00:00,332.68597
2019-01-07 18:00:00,332.639
2019-01-07 19:00:00,332.64203
2019-01-07 20:00:00,332.404
2019-01-07 21:00:00,332.63702
2019-01-07 22:00:00,332.486
2019-01-07 23:00:00,332.6115
2019-01-08 00:00:00,332.687
2019-01-08 01:00:00,
2019-01-08 02:00:00,
2019-01-08 03:00:00,332.7435
2019-01-08 04:00:00,332.821
2019-01-08 05:00:00,332.8095
2019-01-08 06:00:00,332.97
2019-01-08 07:00:00,332.5985
2019-01-08 08:00:00,332.7
2019-01-08 09:00:00,332.598
2019-01-08 10:00:00,332.496
2019-01-08 11:00:00,332.78497
2019-01-08 12:00:00,332.863
2019-01-08 13:00:00,332.6535
2019-01-08 14:00:00,332.652
2019-01-08 15:00:00,332.8335
2019-01-08 16:00:00,332.677
2019-01-08 17:00:00,332.53302
2019-01-08 18:00:00,332.821
2019-01-08 19:00:00,332.713
2019-01-08 20:00:00,332.569
2019-01-08 21:00:00,332.688
2019-01-08 22:00:00,333.028
2019-01-08 23:00:00,332.8135
2019-01-09 00:00:00,
2019-01-09 01:00:00,
2019-01-09 02:00:00,332.558
2019-01-09 03:00:00,332.661
2019-01-09 04:00:00,332.758
2019-01-09 05:00:00,332.9555
2019-01-09 06:00:00,332.954
2019-01-09 07:00:00,332.8615
2019-01-09 08:00:00,332.82
2019-01-09 09:00:00,332.761
2019-01-09 10:00:00,332.656
2019-01-09 11:00:00,332.81848
2019-01-09 12:00:00,332.599
2019-01-09 13:00:00,332.642
2019-01-09 14:00:00,332.898
2019-01-09 15:00:00,332.83502
2019-01-09 16:00:00,332.656
2019-01-09 17:00:00,332.7535
2019-01-09 18:00:00,332.742
2019-01-09 19:00:00,332.72998
2019-01-09 20:00:00,332.684
2019-01-09 21:00:00,332.8765
2019-01-09 22:00:00,332.719
2019-01-09 23:00:00,332.98853
2019-01-10 00:00:00,
2019-01-10 01:00:00,
2019-01-10 02:00:00,333.129
2019-01-10 03:00:00,332.897
2019-01-10 04:00:00,332.909
2019-01-10 05:00:00,332.9345
2019-01-10 06:00:00,332.804
2019-01-10 07:00:00,333.17548
2019-01-10 08:00:00,333.029
2019-01-10 09:00:00,332.9325
2019-01-10 10:00:00,333.45
2019-01-10 11:00:00,333.113
2019-01-10 12:00:00,332.862
2019-01-10 13:00:00,332.9135
2019-01-10 14:00:00,333.266
2019-01-10 15:00:00,333.139
2019-01-10 16:00:00,333.198
2019-01-10 17:00:00,332.958
2019-01-10 18:00:00,332.998
2019-01-10 19:00:00,333.0365
2019-01-10 20:00:00,332.859
2019-01-10 21:00:00,333.296
2019-01-10 22:00:00,333.049
2019-01-10 23:00:00,333.24
2019-01-11 00:00:00,
2019-01-11 01:00:00,
2019-01-11 02:00:00,333.111
2019-01-11 03:00:00,332.68
2019-01-11 04:00:00,332.419
2019-01-11 05:00:00,332.579
2019-01-11 06:00:00,332.523
2019-01-11 07:00:00,
2019-01-11 08:00:00,332.693
2019-01-11 09:00:00,332.458
2019-01-11 10:00:00,332.709
2019-01-11 11:00:00,332.76
2019-01-11 12:00:00,332.607
2019-01-11 13:00:00,332.5545
2019-01-11 14:00:00,332.863
2019-01-11 15:00:00,332.8355
2019-01-11 16:00:00,332.588
2019-01-11 17:00:00,332.8165
2019-01-11 18:00:00,332.543
2019-01-11 19:00:00,332.4715
2019-01-11 20:00:00,332.552
2019-01-11 21:00:00,332.509
2019-01-11 22:00:00,332.596
2019-01-11 23:00:00,332.70898
2019-01-12 00:00:00,
2019-01-12 01:00:00,
2019-01-12 02:00:00,332.455
2019-01-12 03:00:00,332.511
2019-01-12 04:00:00,332.54
2019-01-12 05:00:00,332.725
2019-01-12 06:00:00,332.533
2019-01-12 07:00:00,332.64697
2019-01-12 08:00:00,332.888
2019-01-12 09:00:00,332.704
2019-01-12 10:00:00,332.489
2019-01-12 11:00:00,332.59198
2019-01-12 12:00:00,332.767
2019-01-12 13:00:00,332.6085
2019-01-12 14:00:00,332.576
2019-01-12 15:00:00,332.57
2019-01-12 16:00:00,332.708
2019-01-12 17:00:00,332.52002
2019-01-12 18:00:00,332.639
2019-01-12 19:00:00,332.511
2019-01-12 20:00:00,332.534
2019-01-12 21:00:00,332.53998
2019-01-12 22:00:00,332.582
2019-01-12 23:00:00,332.6175
2019-01-13 00:00:00,
2019-01-13 01:00:00,
2019-01-13 02:00:00,332.547
2019-01-13 03:00:00,332.60498
2019-01-13 04:00:00,332.671
2019-01-13 05:00:00,332.6535
2019-01-13 06:00:00,332.811
2019-01-13 07:00:00,332.88098
2019-01-13 08:00:00,332.456
2019-01-13 09:00:00,332.427
2019-01-13 10:00:00,332.833
2019-01-13 11:00:00,332.6875
2019-01-13 12:00:00,332.567
2019-01-13 13:00:00,332.7015
2019-01-13 14:00:00,332.909
2019-01-13 15:00:00,332.997
2019-01-13 16:00:00,332.987
2019-01-13 17:00:00,332.726
2019-01-13 18:00:00,332.69
2019-01-13 19:00:00,332.9685
2019-01-13 20:00:00,332.728
2019-01-13 21:00:00,332.7955
2019-01-13 22:00:00,332.684
2019-01-13 23:00:00,332.587
2019-01-14 00:00:00,
2019-01-14 01:00:00,
2019-01-14 02:00:00,332.58
2019-01-14 03:00:00,332.57397
2019-01-14 04:00:00,332.658
2019-01-14 05:00:00,332.5855
2019-01-14 06:00:00,332.791
2019-01-14 07:00:00,332.693
2019-01-14 08:00:00,332.723
2019-01-14 09:00:00,332.8295
2019-01-14 10:00:00,332.867
2019-01-14 11:00:00,332.9
2019-01-14 12:00:00,332.828
2019-01-14 13:00:00,332.838
2019-01-14 14:00:00,332.689
2019-01-14 15:00:00,332.5865
2019-01-14 16:00:00,332.693
2019-01-14 17:00:00,332.5525
2019-01-14 18:00:00,332.534
2019-01-14 19:00:00,332.556
2019-01-14 20:00:00,332.694
2019-01-14 21:00:00,332.57098
2019-01-14 22:00:00,332.584
2019-01-14 23:00:00,332.7795
2019-01-15 00:00:00,
2019-01-15 01:00:00,
2019-01-15 02:00:00,332.601
2019-01-15 03:00:00,332.76752
2019-01-15 04:00:00,332.437
2019-01-15 05:00:00,332.628
2019-01-15 06:00:00,332.629
2019-01-15 07:00:00,332.457
2019-01-15 08:00:00,332.586
2019-01-15 09:00:00,332.5535
2019-01-15 10:00:00,332.67
2019-01-15 11:00:00,332.69348
2019-01-15 12:00:00,332.485
2019-01-15 13:00:00,332.52948
2019-01-15 14:00:00,332.706
2019-01-15 15:00:00,332.6565
2019-01-15 16:00:00,332.52
2019-01-15 17:00:00,332.78052
2019-01-15 18:00:00,332.577
2019-01-15 19:00:00,332.57
2019-01-15 20:00:00,332.529
2019-01-15 21:00:00,332.6605
2019-01-15 22:00:00,332.708
2019-01-15 23:00:00,332.489
2019-01-16 00:00:00,
2019-01-16 01:00:00,
2019-01-16 02:00:00,332.638
